OBJECTID,TRAIL_ID,TRAIL_NAME,TRAIL_CLSS,SURF_MAT,ENGINEERED,WIDTH,FENCED,WHEEL_ACC,CONDITION,INST_YEAR,INST_DATE,LIGHT,OWNER,MAINT,STATUS,COMMENTS,ADDDATE,MODDATE,SOURCE,SACC,FCODE,CODE,WALKING,HIKING,BIKING,ATV,SNOWMOBILE,SEASON,COLLECTED,UPDATED,TCT,RAIL,NATURE,ET_SOURCE,SECT_NAME,ASSOCN,DATASOURCE,OFFICIAL,NAME_APP,PLOW,GLOBALID,LEN,Shape__Length
104525,3701,SHEARWATER FLYER TRAIL,AT_GW,,,0,,,,,,,,,, ,,,,,RRRDTR,HRT, , , , , , ,2007-01-12T00:00:00.000Z,2007-01-12T00:00:00.000Z, , , ,HRM,,Cole Harbour Parks and Trails,TRAILS_APR11,,,,f349f521-e70b-4921-bdde-1e644950578d,12053.6107258368,12053.6107258404
104526,1660,UNKNOWN NAME,PRIMARY,Asphalt, ,1.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,minor cracks/ heaves,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,95de6c4c-69af-45b6-8268-d33d93161215,105.204103696536,105.204103695659
104527,1657,UNKNOWN NAME,PRIMARY,Asphalt, ,3.3,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,access rd to cemetery-minor cracking,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,911333c3-2fbe-4e99-aa28-317d9b65b7ae,65.3634851020803,65.3634851021826
104528,1661,UNKNOWN NAME,PRIMARY,Asphalt, ,1.3,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,overgrown w/weeds -minor heaves/cracks,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,8d7690a8-4f5d-4d3c-b2fd-aa57dc0e326e,69.7035296162875,69.7035296168212
104529,1769,UNKNOWN NAME,PRIMARY,Concrete, ,1.5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,part of sidewalk system,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,724a7a92-30cf-46a9-a34d-32c97a577e21,105.049057420788,105.049057422565
104530,2536,SANDY LAKE TRAIL, ,CRDS, ,3,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,9a1c6dc0-7194-4375-8512-2efc1a2acac6,234.451021153275,234.451021154219
104531,2459,SANDY LAKE TRAIL, ,CRDS, ,3,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c3816b3e-d773-4183-8463-4be339431eec,193.432838978094,193.432838977588
104532,782,SANDY LAKE TRAIL,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,6f1ff4dd-056f-4ef3-aff1-74957985e674,1240.10808730307,1240.1080873035
104533,1489,MOSS CRT TO MAINLAND LINEAR TRAIL , WALKWAY,Asphalt,No,1.8,Yes,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,NEIGHBOURHOOD,,,TPW_TRAILS,,,,7f0a231f-7bc3-481d-baa1-40f50f9892c6,62.6774058336305,62.6774058338002
104534,973,GLENBOURNE PARK TRAIL , CONNECTOR,Gravel,No,3,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,some exposed rock throughout,,,,,,,,,,,No,,,,N,No,No,SPORTS FIELD & OFF LEASH,,,TPW_TRAILS,,,,e21dad12-7f2f-4787-89fc-edbd7b50a477,268.710916933795,268.710916934012
104535,974,GLENBOURNE PARK TRAIL , CONNECTOR,CRDS,No,1.4,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,sides overgrown,,,,,,,,,,,No,,,,N,No,No,SPORTS FIELD & OFF LEASH,,,TPW_TRAILS,,,,22e456f1-75ef-4221-9027-b50e74123ded,68.2424823860037,68.2424823854883
104536,1488,SCOTCH PINE TERR  TO MAINLAND LINEAR TRAIL ,WALKWAY,Asphalt,No,1.8,Yes,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,NEIGHBOURHOOD,,,TPW_TRAILS,,,,eb3f768f-9cc5-4cb8-9d66-313262ea4166,60.2657723382081,60.2657723393686
104537,1184,UNKNOWN NAME,TERIARY,Gravel,No,0.5,Yes,,POOR,0,,No,Halifax Regional Municipality,HRM,DECOMISSIONED,leads to former bridge-mowed-part fenced,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,91d997ad-334b-4d59-b0fa-6394262f14d3,152.328247424951,152.328247423272
104538,703,UNKNOWN NAME,,,No,,No,,GOOD,2014,,No,Halifax Regional Municipality,HRM,ACTIVE,,2014-12-12T00:00:00.000Z,,PICTOMETRY,,,,,,,,,,,,,,,,,,,,,,a2e9d8db-ded7-4dee-a817-b64302d98b54,279.595571472048,279.59557147201
104539,1890,UNKNOWN NAME, ,Natural,No,1.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,rough sections / exposed rock,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,4e782775-dccf-4fc8-9964-7d1cc95bea32,849.861457761411,849.861457756462
104540,1894,UNKNOWN NAME, ,CRDS,No,1.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,"s/o in sections,informal access 2 linear",,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,ce26c547-fa66-430e-98b4-ac5728d70d0f,416.080202177992,416.080202171581
104541,1889,UNKNOWN NAME, ,Asphalt,No,1.4,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE, ,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c93f65a5-4f7f-4f02-ab1d-b3facfb3ea40,196.65039821926,196.650398220405
104542,1383,UNKNOWN NAME, ,Gravel,No,5,No,,GOOD,0,,No,Halifax Regional Municipality,HRM,ACTIVE,access rd,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,e47d221d-f3f2-44bd-871a-228c2693327d,213.457014071068,213.457014070715
104543,700,UNKNOWN NAME,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,fef0072f-0a07-4b1b-8e49-7c51e3a5b1b7,35.308004285341,35.3080042864844
104544,3480,MCINTOSH RUN COMMUNITY TRAIL,,,,0,,,,,,,,,, ,,,,,RRRDTR,EXNS, , , , , , ,2009-06-10T00:00:00.000Z,2009-12-01T00:00:00.000Z,N,No,Yes, ,, ,TRAILS_APR11,,,,6daf68eb-e185-4324-951e-2157df323823,2555.24955056594,2555.24955056518
104545,701,UNKNOWN NAME,,CRDS,No,,No,,GOOD,,,No,Halifax Regional Municipality,HRM,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,ff184212-0202-4ffc-84df-f6df10c86ab6,861.950333619383,861.950333616339
104546,1896,UNKNOWN NAME, ,CRDS,No,1.5,No,,MARGINAL,0,,No,Halifax Regional Municipality,HRM,ACTIVE,s/o,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,47239522-b6c7-4206-a59d-2c8cbd4e919c,140.173366518442,140.173366517857
104547,1046,UNKNOWN NAME, ,Concrete,Yes,7,No,,GOOD,0,,No, ,UN,ACTIVE,width varies-pier/wharf,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,3d8156e0-83fd-4a3a-b362-a7075cb16842,130.47812899016,130.478128991051
104548,1045,UNKNOWN NAME, ,Concrete, ,7,Yes,,GOOD,0,,Yes, ,UN,ACTIVE,pavers-chain rail-post2post,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,2db1af8b-8ef0-4df7-89a4-83526a26a73d,35.2600369020547,35.2600369018811
104549,2874,COLE HARBOUR HERITAGE PARK TRAILS,,,,,,,,,,,,,,,,,,,RRRDTR,HRT,,,,,,,,,,,,HRM,,Cole Harbour Parks & Trails Association,TRAIL_VERIFD,,,,2665241e-893c-466b-98db-4b6cacce0114,11.3794068086351,11.3794068108533
104550,1047,UNKNOWN NAME, ,Concrete,Yes,12.2,No,,GOOD,0,,No, ,UN,ACTIVE,pier/wharf,,,,,,,,,,,,,,,,,,,,,TPW_TRAILS,,,,c6c1c2cd-98c4-47b7-8132-c24b61175fae,101.053589279664,101.05358927939
